created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Wed Nov 08 14:53:31 +0000 2023,1722266103538503814,🇮🇱 🇵🇸 Israel telah menggunakan F-35 untuk membom Gaza.  ➡️ Mungkin Israel takut F-16 nya rontok lagi di tembak jatuh Hamas. https://t.co/H3REXaOff9,2,13,128,465,in,497234852,1722266103538503814,yo2thok,https://twitter.com/yo2thok/status/1722266103538503814,
Wed Nov 08 14:49:56 +0000 2023,1722265201729470974,"@Marchfoward Asyik kata dah jumpa tapi dari dulu tak dapat pun kalahkan Hamas. Dahlah  kat dunia kalah, akhirat masuk neraka.",0,1,34,186,in,403234968,1722257736212304236,FadQuadra,https://twitter.com/FadQuadra/status/1722265201729470974,Marchfoward
Wed Nov 08 14:37:08 +0000 2023,1722261979698704851,"Dilaporkan  kematian Barib Yariel, penembak jitu terbaik dari unit khusus Givati @IDF , yang masuk tentara Israel pada tahun 2012.  Tewas oleh penembak jitu Hamas.‌‌ #FreePalestineFromIsrael https://t.co/mF8cpd0gND",7,33,131,327,in,1417079987614588931,1722261979698704851,thekuxell,https://twitter.com/thekuxell/status/1722261979698704851,IDF
Wed Nov 08 14:36:25 +0000 2023,1722261799909867809,"Dalam 24 jam terakhir, pasukan pejuang Palestina Brigade Al-Qassam Hamas, berhasil menghancurkan 15 kendaraan militer penjajah Zionist Israel.  #FreePalestine #FreePalestineNow #OpIsrael #SavePalestine #BDS #IsraeliCrimes #GenocideinGaza #IsraeliTerrorists #Palestine https://t.co/VxbfANSYFq",11,23,616,1454,in,1476693997,1722261799909867809,MCAOps,https://twitter.com/MCAOps/status/1722261799909867809,
Wed Nov 08 14:33:51 +0000 2023,1722261152250638770,"@LoudMinorities @J__Thomasz yaudah mana buktinya hamas memperk*sa? bukti akademik ya, bukan bukti jurnalistik krn bukti jurnalistik pun bisa direkayasa sama mereka (terbukti dari reporter cnn nyebarin hoax tentang 40 beheaded babies)  dari kmrn tiap dimintain bukti gabisa ngasih bukti wkwkwk loser behaviour",0,7,20,246,in,1355480592754741252,1722070409108181438,cicadust,https://twitter.com/cicadust/status/1722261152250638770,"LoudMinorities, J__Thomasz"
Wed Nov 08 14:23:38 +0000 2023,1722258582962602332,"@Marchfoward Hanya orang jahil saja percaya ini terowong Hamas. Ianya antara,   1. Fake tunnel by Hamas. 2. Fake tunnel by Israel. Buat sendiri lepas tu destroy then kata Hamas punya terowong.   Ada terowong sedalam kubur ja. Ingat Hamas bodoh mcm depa 🤣",0,2,103,628,in,2955691826,1722257736212304236,fahmyumar,https://twitter.com/fahmyumar/status/1722258582962602332,Marchfoward
Wed Nov 08 14:21:20 +0000 2023,1722258003230093770,Hamas sniper vs Israeli sniper :,5,31,325,1504,in,219433787,1722258003230093770,ME_Observer_,https://twitter.com/ME_Observer_/status/1722258003230093770,
Wed Nov 08 14:20:16 +0000 2023,1722257736212304236,"TERKINI  IDF memaklumkan menjumpai 130 pintu dan terowong di Gaza sejak operasi darat bermula  Kor Kejuruteraan Tempur IDF sedang bekerja keras untuk membersihkan laluan bagi membolehkan Tentera Darat melalui kawasan itu, mengesan dan memusnahkan aset Hamas termasuk terowong dan… https://t.co/0NoJDoYjFf",81,85,852,1480,in,2194068895,1722257736212304236,Marchfoward,https://twitter.com/Marchfoward/status/1722257736212304236,
Wed Nov 08 14:09:37 +0000 2023,1722255052419833892,"Klaim media Israel: Hizbullah dalam percakapan dengan para pemimpin Hamas, mengatakan bahwa mereka akan menyerang dan merebut pemukiman utara rezim Apartheid Israel dalam beberapa hari ke depan. https://t.co/NvF6XOgkMF",0,9,89,361,in,2256063276,1722255052419833892,SoftWarNews,https://twitter.com/SoftWarNews/status/1722255052419833892,
Wed Nov 08 13:17:19 +0000 2023,1722241892094771670,Habib Rizieq Syihab : Hamas Pejuang 🇵🇸 - Israel Pecundang 👎 https://t.co/HKr3rW5N8e,2,7,334,601,in,1364378082983878656,1722241892094771670,Elz4m_,https://twitter.com/Elz4m_/status/1722241892094771670,
